Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,B365CH,B365CD,B365CA,HS,AS,HST,AST,PSH,PSD,PSA,HC,AC
2022-07-29,Huddersfield,Burnley,0,1,2.9,3.2,2.5,2.9,3.2,2.55,2,16,0,7,3.07,3.26,2.53,1,5
2022-07-30,Blackburn,QPR,1,0,2.0,3.5,3.75,1.9,3.5,4.0,9,4,4,0,2.07,3.57,3.78,6,0
2022-07-30,Blackpool,Reading,1,0,1.95,3.5,4.0,2.0,3.4,3.8,10,12,5,3,2.0,3.64,3.95,3,10
2022-07-30,Cardiff,Norwich,1,0,3.1,3.4,2.3,3.5,3.3,2.15,3,7,2,1,3.15,3.4,2.4,1,7
2022-07-30,Hull,Bristol City,2,1,2.37,3.25,3.1,2.5,3.1,2.9,14,10,4,4,2.46,3.48,2.99,6,3
2022-07-30,Luton,Birmingham,0,0,1.83,3.5,4.33,1.85,3.5,4.2,14,12,4,3,1.88,3.6,4.59,10,6
2022-07-30,Millwall,Stoke,2,0,2.3,3.25,3.2,2.5,3.2,3.1,13,4,5,2,2.37,3.3,3.3,8,2
2022-07-30,Rotherham,Swansea,1,1,2.62,3.5,2.55,2.4,3.25,3.0,9,14,8,5,2.67,3.56,2.68,5,6
2022-07-30,Wigan,Preston,0,0,2.4,3.3,3.0,2.75,3.2,2.62,20,11,5,2,2.54,3.22,3.09,7,4
2022-07-30,Middlesbrough,West Brom,1,1,2.25,3.4,3.25,2.3,3.25,3.25,16,12,2,5,2.27,3.39,3.43,4,3
2022-07-31,Sunderland,Coventry,1,1,2.62,3.5,2.6,2.45,3.4,2.8,10,9,5,2,2.77,3.46,2.65,4,3
2022-08-01,Watford,Sheffield United,1,0,2.3,3.25,3.25,2.3,3.3,3.1,10,6,4,3,2.36,3.27,3.3,5,4
2022-08-05,Birmingham,Huddersfield,2,1,2.37,3.25,3.1,2.4,3.2,3.1,18,9,6,2,2.43,3.18,3.32,6,7
